,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00367-2021,Rock Inn and Cafe,Mountain Province,Sagada,"Orange Drive, Rock Farm, Staunton Road, Batalao, Mt. Province",0905-554-5950,therock_sagada@yahoo.com.ph,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00530-2022,Rock Wall Inn and Eatery,Mountain Province,Sagada,"Makingking, Demang, Sagada, Mountain Province",9204202594,robertaaspoen@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00887-2022,Rubia Restaurant Bed and Breakfast,Benguet,Baguio,"80 Upper General Luna Rd., Brgy. Salud Mitra, Baguio City",9275496482,sales@rbedandbreakfast.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01680-2024,Sachee's Transient House,Benguet,Baguio,"199 Marcos Highway, Brgy. Bakakeng Central, Baguio City",9228117778,combldg.tlcs@gmail.com,31-Oct-26,,,,
,,,,,,,9175080033,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00487-2021,Sagada Blue Mountain Cabins,Mountain Province,Sagada,"Mabisil-Payag-eo Rd., Sagada, Mountain Province",9985525308,sagadabluemountaincabins@gmail.com,31-Oct-27,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01996-2024,Sagada Cave Pension House,Mountain Province,Sagada,"Balugan, Ambasing, Sagada, Mt. Province",9988651846,ganayosent@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01189-2023,Sagada Guesthouse & Resto,Mountain Province,Sagada,Sagada-Besao Provincial Road,9399145208,dododao@yahoo.com,31-Oct-26,,,,,,
,,,,,,,9399029349,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00861-2022,Sagada Indigenous Inn,Mountain Province,Sagada,"Dao-angan,Dagdag,Sagada",9216455679,sagadaindigenous@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01183-2023,Sagada Heritage Village,Mountain Province,Sagada,"Mampukong, Balugan, Sagada, Mountain Province",9212198385,sagadaheritagevillage@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00170-2021,Sagada Homestay Inn and Restaurant,Mountain Province,Sagada,"Poblacion, Sagada, Mountain Province",9197028380,karenfiarod@gmail.com sagadaHomestay@yahoo.com.ph,31-Oct-26,,,,
,,,,,,,9279802492,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00518-2021,.Sagada Lodging Home,Mountain Province,Sagada,"Dagdag, Sagada, Mt. Province",9674760149,sagadalodginghome@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00584-2022,Sagada Shire Inn,Mountain Province,Sagada,"Patay, Sagada, Mountain Province",9397507270,theshireofsagada@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00149-2021,Sagada Sunrise View Homestay,Mountain Province,Sagada,"0009 sagada sunrise view homestay,kal-i,kilong",9217531281,wjnllki@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01551-2024,Sailor's Homestay,Benguet,Baguio,266-A purok 2 Lower West Camp 7,9075850537,roselynrealuyo024@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00486-2021,Saint Joseph Inn,Mountain Province,Sagada,"Poblacion, Sagada, Mt. Province",0949 797 6493,stjosephinn70@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02284-2025,Salvador A. Acuña Transient House,Benguet,Baguio,"24-A, General Lim St. Burnham-Legarda",9152734448,acunasalvador2025@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02457-2025,Sanjang Guest House,Benguet,Baguio,"77 EB Lane Terry Court, Suello Village, Brgy. Santo Tomas Proper, Baguio City",9771385838,dmae.ame@gmail.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02013-2024,Savta Kibbutz Homestay,Ifugao,Banaue,"Batonbinongle, Bocos, Banaue, Ifugao",9058484472,elmapulupul25@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01563-2024,Schands Condo's Property Rental,Benguet,Baguio,"Unit 506, Central Apartment 4, Quisimbung Street, Trancoville, Baguio City",9462515825,janics.verona08@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00527-2022,Shagay Inn,Mountain Province,Sagada,"Patay, Sagada, Mountain Province",9107092631,shagayinn@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00474-2021,Shamrock Tavern,Mountain Province,Sagada,"Makingking, Dagdag, Brgy. demang (Pob.), Sagada, Mt. Province",9691562705,sagadacaveman.stavern@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02337-2025,Shikku Transient House,Benguet,Baguio,Pucsusan Road Pucsusan Baguio City,9989839865,shikkutours@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02216-2024,Skylands Village Cottages Rentals,Mountain Province,Sagada,"Batalao, Antadao, Sagada, Mountain Province",9999497873,83yamashita@gmail.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00973-2022,Sentosa Transient House,Benguet,Baguio,"# 70 Tiptop, Ambuclao Road, Baguio City",9475949117,airene_mabag@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00501-2021,Seven J's Homestay,Mountain Province,Sagada,"Poblacion, Sagada, Mountain Province",9303178686,sevenjdawilan@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00008-2020,Sisko Inn,Benguet,Baguio,"#85A Brentwood Village, Brgy. Roxas, Baguio City",9178560373,siskoinn@yahoo.com,31-Oct-26,,,,
,,,,,,,9175887088,,,,,,,,
,,,,,,,(074) 661 4548,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01197-2023,Sirjelyjoy Homestay,Benguet,Baguio,"49 Upper Malvar street, Trancoville, Baguio City",9175838168,jdawang18@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00850-2022,Skyrise Hotel and Restaurant,Benguet,Baguio,"#18 Dominican Road, Lourdes proper, Baguio City",(074) 445-6834,skyrise_baguio@yahoo.com,31-Oct-26,,,,
,,,,,,,(074) 445-6836,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00355-2021,Soleo Real Estate Leasing,Benguet,Baguio,"0866 Tello st., Adiwang, Camp 7, Baguio City",9989842736,soleoinn@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01191-2023,South Drive Baguio Manor,Benguet,Baguio,"#34 Paterno Street, South Drive, Baguio City",9173063947,sdbaguiomanor@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00190-2021,South Ville Inn,Ifugao,Lagawe,"NAK Bldg., Lagawe Proper Drive, Brgy. Poblacion South, Lagawe, Ifugao",9274004323,nktungod@yahoo.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01066-2023,St Therese Retreat House,Benguet,Baguio,"45 St. Therese st., Dominican Hill-Mirador, Baguio City",9178119032,stthereseretreathouse@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02327-2025,Stine Condotel,Benguet,Baguio,"Unit 3D - West Burnham Place, Kisad Road, Baguio City",90731420836,stineleslie3d@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02325-2025,Stine Condotel,Benguet,Baguio,"Unit 5A - West Burnham Place, Kisad Road, Baguio City",90731420837,stineleslie5A@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02326-2025,Stine Condotel,Benguet,Baguio,"Unit 5B - West Burnham Place, Kisad Road, Baguio City",9518702967,stineleslie5b@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02345-2025,Stine Condotel,Benguet,Baguio,"Unit 5I- West Burnham Place, Kisad Road, Baguio City",9518702968,stineleslie5b@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01934-2024,Sukhavati Inn,Benguet,Baguio,"#60 Siapno Road, Pacdal, Baguio City",9702426298,innsukhavati@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00109-2020,Susan's Transient House,Benguet,Baguio,"#79 PUROK 4 Lower Cabinet Hill-Teacher's Camp, Baguio City",09194688301 09173205925 (074) 446-5242,sansui71@ymail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00026-2020,Sunset View Ridge Residences,Benguet,Baguio,"#19 Gulf View Harison, Suello Village, Bakakeng Central, Baguio City",09953626064 09479793732,sunsetviewridgeresidences@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02422-2025,Swiftstay Retreat Condotel,Benguet,Baguio,"7F-291, Megatower VII, Honeymoon Road, Holyghost Ext",9660813752,swiftstayretreat@gmail.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00877-2022,T.A.P Residences,Benguet,Baguio,"#38A 14th St., Purok 3, Dominican Mirador, Baguio City",(074) 444 4236,tapresidences@gmail.com,31-Oct-26,,,
,,,,,,,0915 472 2328,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00354-2021,Tacay Lodging House,Benguet,Baguio,"No. 38 Pinsao Proper Tacay Road, Baguio City",9465864415,tangalinnorieniel@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01293-2023,T2U3H Di Antero Condominium Unit,Benguet,Baguio,Suntrust 88Gibraltar Condominium Unit 3,09938824144 09850291693,,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02435-2025,Tam-An Hotel,Ifugao,Banaue,"Sitio Bissang, Tam-an, Banaue, Ifugao",9171168548,tam_anhotel@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01716-2024,Tampol Condo Unit Rental-Sibol Baguio,Benguet,Baguio,"Megatower 3, Unit 24, Sandico st., Brgy. salud Mitra, Baguio City",9563460934,olanrembulat@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00639-2022,Tampco Inn & Restaurant,Kalinga,Tabuk,"Brgy. Appas, Tabuk City, Kalinga",9755452295,tampcoinn@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00908-2022,Tanaw Presa Guesthouse,Benguet,La Trinidad,"AD-282-E Central Buyagan, Poblacion, La Trinidad, Benguet",9209034544,Tanawpresa123@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02443-2025,Tanbiz-Baguio Condotel,Benguet,Baguio,"3F-9B, No. 1 Megatower Residences VII, Honeymoon Road, Baguio City",9189634558,ronnelptan@yahoo.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02376-2025,Tawanna Transient House,Benguet,Baguio,"130B, Teachers Camp, Cabinet-Hill-Teachers Camp",9293492634,tawannatransienthouse@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02486-2025,The Bougain Villa Guest House,Paracelis,Mountain Province,"Brgy. Poblacion, Paracelis, Mountain Province",9262235282,joselitabsimon@gmail.com,31-Oct-27,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01906-2024,The Country Place Baguio,Benguet,Baguio,"#20 Dominican Rd., Baguio City",9178528228,srbaylon@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00471-2021,The Pilgrim's Place,Benguet,Baguio,"67 Marcos Highway, Baguio City",074-442-3303,tppbaguio2010@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00856-2022,Tiptop Vacation Homes,Benguet,Baguio,"70-A Ambuklao Rd., Simsim Cmpd, Tiptop, Baguio City",9669069521,lialew99@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00972-2022,Tita Vee Vacation House,Benguet,Baguio,#15 M. H. Del Pilar St. Baguio City,09165000509 / 09173527833 / 09996990909,vee.belko@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01280-2023,The Verandah Lodge,Ifugao,Banaue,"Tam-an, Banaue, Ifugao",9533000569,theverandahlodge@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00914-2022,Aidz Inn,Benguet,Baguio,"#02 Upper Session Rd., Brgy. Engineer’s Hill, Baguio City",9562568152,titaaidz.inn@gmail.com,31-Oct-26,,,,
,,,,,,,9082896864,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00302-2021,Toowan21 Transient House,Benguet,Baguio,4 Ben Palispis Hwy RKC Bldg Marcos Hwy,9054190309,dasigmilet@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02396-2025,Torre KBR by McCherie Transient House,Benguet,Baguio,"11-B, Dahlia Street, Upper QM, Baguio City",9399378390,andreadumalti721@gmail.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00543-2022,Treasure Link Cooperative Society,Benguet,Baguio,"Queen of Peace rd., and city camp central rd., Lourdes Subdivision extension",9687581577,combldg.tlcs@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02246-2025,Tree Tops Eco Adventure Resort,Kalinga,Tabuk,"M Sal-ao Road, Brgy. Bantay, Tabuk City, Kalinga",9361510052,bides.mktng@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00809-2022,Tudor in the Pines,Benguet,Baguio,"#17 Lower Balacbac Rd., Sto Tomas, Baguio City",0945 793 2224,thetudorHomestay@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00436-2021,Tulip Apartelle,Benguet,Baguio,"#6 Loakan Road, Green water village, Baguio City",(074) 424-5718/ 09468636032,tulipapartelle_loakan@yahoo.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00430-2021,Tulip's Place,Benguet,Baguio,"#3 Recto St., Navy Base, Pacdal, Baguio City",(074) 442-8208,tulip.place@yahoo.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01609-2024,Twelve 21 Condotel,Benguet,Baguio,5F-04 Megatower 3 Residences Sandico Street,9175059417,princess.butac@yahoo.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01853-2024,Upland Homestay,Benguet,Baguio,"2nd Road, Brgy. Quezon Hill Proper, Baguio City",9164498859,jowelingalano24@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01203-2023,Upsidedown Café and Homestay,Benguet,Mankayan,"Tegan-Cabigat, Balili, Mankayan, Benguet",9197131398,wpcnchloe@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02141-2024,Vantage Point Transient House,Benguet,Baguio,"125 Lower Scout Barrio, Baguio City",9266380425,altabarang09@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02391-2025,Ventanas Transient House,Benguet,Baguio,"39C, Purok 1, Liwanag, Loakan Rd., Baguio City",9257585480,ventanas.baguio@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02390-2025,Villa Silvina Hotel and Restaurant,Benguet,Baguio,"15, Purok 3, Outlook Drive, Baguio City",9171499991,vsilvinahotel@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00120-2021,Villa Princess Theresa Inn,Benguet,Baguio,#221 Session Road Extension,9064847131,villaprincesstheresainn@yahoo.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02411-2025,Villa Valencerina Apartments,Benguet,Baguio,"#26 Mystical Rose Rd., Lourdes Subd., Extension, Baguio City",(074) 445-6673 09177921213,villavalencerina@aol.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02245-2025,VBSBM Ventures,Benguet,Baguio,"N316 Outlook Ridge Residences, Outlook Dr, Baguio City",746192701,vbsbmventures@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02245-2025,VBSBM Ventures,Benguet,Baguio,PH 08 Carezza Bldg Moldex Residences,746192702,vbsbmventures@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02344-2025,VBSBM Ventures,Benguet,Baguio,PH 09 Carezza Bldg Moldex Residences,746192703,vbsbmventures@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02273-2025,Vienices Transient Inn,Benguet,Baguio,"Unit 623-B Moldex Residences, Bariloche Building, Marcos Highway, Purok 1 Bakakeng Central",9773996685,reych_abalos@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02334-2025,VJ's Transient House,Benguet,Baguio,"21 Military Cut-off Baguio City, Benguet",9179952095,vjdominguez@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02352-2025,Wanay's RM Homestay,Benguet,La Trinidad,Dreamland Summerfield Goshenland Pico La Trinidad Benguet,9386466235,rositabanagao70@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00610-2022,Whiteoats Inn,Benguet,Baguio,"Purok 4 Dontogan, Green Valley",9266565880,whiteoats.inn@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02138-2024,White House of the Lord of Scents,Benguet,Baguio,Lot 1 and 2 Golf Estate Camp John Hay Baguio City,9498890590,whitehouselordofscents@gmail.com,31-Oct-27,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01556-2024,William-Maricel Condo Unit Rental,Benguet,Baguio,Unit 6F-17 megatower residences 2 tecson st.,9279481714,maricelabarra1974@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01273-2023,William Salinas Apartment,Benguet,Baguio,"21 Spring Subdivision, San Luis Village, Baguio City",9162761766,w_salinas@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00611-2022,Wilma's Viewpoint Homestay,Benguet,Baguio,"229 Tam-awan Turning Point, Pinsao Proper",074 6657364,grace1223_Camdas@yahoo.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00047-2020,Winaca Eco-Cultural Village,Benguet,Tublay,"Acop, Tublay, Benguet, Caponga Poblacion","""09189029294",winacainfo@gmail.com,31-Oct-26,,,
,,,,,,,"(074) 665 3963""",,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00942-2022,Wyatt's Crib Apartment,Benguet,Baguio,"362-A Tam-Awan Village, Purok 1, Pinsao Proper, Baguio City",639399024857,virginiadaping@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01262-2023,Yang Home Stay,Benguet,Baguio,"#01 Queen Of Peace, Baguio City",9473262896,yhsbaguio@gmail.com,31-Oct-26,,,,,
,,,,,,,9776877012,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02413-2025,Yllib Condo Unit Rental,Benguet,Baguio,"Unit C11, The Zoneville, Bukaneg Street, Brgy. Legarda-Burnham-Kisad, Baguio City, Benguet",9754515639,ziavaldez@yahoo.com,31-Oct-26,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02336-2025,YourOasis Apartment/M&N Viewdeck Cafe,Benguet,Baguio,139 Kadaklan Loakan Apugan Baguio City Benguet,9392875622,sucdadnelcy@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00480-2021,YMCA of the city of Baguio,Benguet,Baguio,"Post Office Loop, Salud Mitra, Baguio City",(074) 248-1211,ymcabaguio.youth@gmail.com,31-Oct-26,,,,
,,,,,,,(074) 619-8597,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00986-2022,Ykalinga Hotel,Kalinga,Tabuk,"Provincial Road, Purok 1, Bulanao, Tabuk City, Kalinga",9955390633,ykalingaHotel@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01125-2023,Zig Apartments,Benguet,Baguio City,"13 Cabinet Hill, Baguio City",9173202664,zcgogoling@yahoo.com,31-Oct-26,,,,,
CAR,MICE Venue / Facility,DOT-CAR-MCF-02129-2024,Cordillera Convention Hall,Benguet,Baguio City,"Baguio Country Club Road, Baguio City",074-619-2050,danny.gacuya@bcc.com.ph,30-Jun-26,,,,,
,,,(Baguio Country Club Corporation),,,,,,,,,,,,
CAR,MICE Venue / Facility,DOT-CAR-MCF-02134-2024,Newtown Convention Center,Benguet,Baguio City,"43 CM Recto St., Navy Base, Saint Joseph, Baguio City",9166046087,newtownplazahotel.ph@gmail.com,30-Jul-26,,,
,,,(Newtown Plaza Hotel ),,,,,,,,,,,,
CAR,Resort,DOT-CAR-RES-01939-2024,Baguio Country Club Corporation,Benguet,Baguio,"Country Club Road, Baguio City",(074) 619-2050,reservations_baguio@bcc.com.ph,31-Oct-26,,,,,
,,,,,,,(074) 442-7674,executive_office@bcc.com.ph,,,,,,,
,,,,,,,9985515726,events@bcc.com.ph,,,,,,,
CAR,Resort,DOT-CAR-RES-00641-2022,Grand Zion Hotel Garden Resort Hotel,Kalinga,Tabuk,"National Highway, Purok 7, Bulanao, Tabuk City, Kalinga",09778541032 09163734366,agrandzion@gmail.com,31-Oct-26,,
,,,,,,,9279675953,,,,,,,,
,,,,,,,9285046515,,,,,,,,
CAR,Resort,DOT-CAR-RES-01876-2024,Palm Grove Hotspring and Mountain Resort,Benguet,Tuba,"Asin Nangalisan, Tuba, Benguet",9399192453,ilovepalmgroveresort@gmail.com,31-Oct-26,,,,
CAR,Resort,DOT-CAR-RES-01095-2023,Rang-Ay Eco Adventure and Resort,Kalinga,Tabuk,"Bongngat St., Babalag West, Rizal, Kalinga Province",9369835213,info@rang-ay.com,31-Oct-26,,,
CAR,Resort,DOT-CAR-RES-00399-2021,The Manor at Camp John Hay,Benguet,Baguio City,Loakan Road,(074) 424 0931,https://campjohnhay.ph/,31-Oct-26,,,,,,
CAR,Resort,DOT-CAR-RES-00832-2022,Clark Grand Resort Hotel,Mountain Province,Bauko,"Pikaw, Brgy. Poblacion, Bauko, Mt. Province",9097430664,clarkgrandresort@yahoo.com,31-Oct-26,,,
CAR,Rest Area,DOT-CAR-TRE-01784-2024,Pillars R & R Management and Sanitary Service/ Botanical Garden,Benguet,Baguio City,"Botanical Garden, St. Joseph Village, Baguio City",444-5289 / 602-3502,randrrupert@gmail.com,30-Jul-26,,,,
CAR,Rest Area,DOT-CAR-TRE-01790-2023,Pillars R & R Management and Sanitary Service/Fronting Bayanihan,Benguet,Baguio City,"Fronting Bayanihan Bldg. Perfecto Street, ACZKO",444-5289 / 602-3502,randrrupert@gmail.com,8-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01793-2024,Pillars R & R Management and Sanitary Service / Tobacco Section,Benguet,Baguio City,"Tobacco Section, City Market, Bagong Lipunan, Brgy. Cabinet Hill-Teacher's Camp, Baguio City",444-5289 / 602-3501,randrrupert@gmail.com,21-Jul-26,,
CAR,Rest Area,DOT-CAR-TRE-01162-2023,R & R Management and Sanitary Service/Rose Garden,Benguet,Baguio City,"Rose, Garden Burnham Park, Baguio City",444-5289 / 602-3502,randrrupert@gmail.com,8-Jul-26,,,,
CAR,Rest Area,DOT-CAR-TRE-01166-2023,Pillars R & R Management and Sanitary Service/Skating Rink,Benguet,Baguio City,"Skating Rink Burnham Park, Burnham-Legarda",444-5289 / 602-3502,randrrupert@gmail.com,8-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-02456-2025,R & R Management and Sanitary Service/ Lower Wright Park,Benguet,Baguio City,"Lower Wright Park, Lualhati",444-5289 / 602-3502,randrrupert@gmail.com,11-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01175-2023,Pillars R & R Management and Sanitary Service/Igorot Bandstand,Benguet,Baguio City,"Igorot Bandstand Comfort Room, Burnham-Legarda",444-5289 / 602-3502,randrrupert@gmail.com,9-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01149-2023,Pillars R & R Management and Sanitary Service/ Wright Park,Benguet,Baguio City,"Wright Park, Lualhati",444-5289 / 602-3502,randrrupert@gmail.com,11-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01150-2023,R & R Management and Sanitary Service/Mines View Park,Benguet,Baguio City,"Minesview Park, Baguio City",444-5289 / 602-3502,randrrupert@gmail.com,11-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01164-2023,Pillars R & R Management and Sanitary Service/OCAPS,Benguet,Baguio City,"OCAPS Burnham Park, Burnham-Legarda",444-5289 / 602-3502,randrrupert@gmail.com,9-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01170-2023,Pillars R & R Management and Sanitary Service/Melvin Jones,Benguet,Baguio City,"Melvin Jones, Burnham-Legarda*",444-5289 / 602-3502,randrrupert@gmail.com,21-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01169-2023,Pillars R & R Management and Sanitary Service/Children's Park,Benguet,Baguio City,"Children's Park, Burnham-Legarda, Baguio City",444-5289 / 602-3502,randrrupert@gmail.com,21-Jul-26,,,,
CAR,Rest Area,DOT-CAR-TRE-01165-2023,Pillars R & R Management and Sanitary Service/Block 4 Public Market,Benguet,Baguio City,"Block 4 City Market, Bagong Lipunan",444-5289 / 602-3502,randrrupert@gmail.com,21-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01785-2024,R & R Management and Sanitary Service/ Flower Section Public Market,Benguet,Baguio City,"Flower Section City Market, Bagong Lipunan, Baguio City",444-5289 / 602-3502,randrrupert@gmail.com,21-Jul-26,,,,
CAR,Rest Area,DOT-CAR-TRE-01168-2023,Pillars R & R Management and Sanitary Service/Block 3 Public Market,Benguet,Baguio City,"Block 3 City Market, Kayang Hilltop",444-5289 / 602-3502,randrrupert@gmail.com,21-Jul-26,,,,,
CAR,Rest Area,DOT-CAR-TRE-01173-2024,Pillars R & R Management and Sanitary Service/Rizal Park,Benguet,Baguio City,"Rizal Park, Otek Street, AZCKO",444-5289 / 602-3502,randrrupert@gmail.com,21-Jul-26,,,,
CAR,Rest Area,DOT-CAR-TRE-01781-2024,R & R Management and Sanitary Service/People's Park,Benguet,Baguio City,"People's Park, Malcolm Square, Baguio City",444-5289 / 602-3502,randrrupert@gmail.com,21-Jul-26,,,,
CAR,Restaurant,DOT-CAR-RST-01552-2024,113 Wagner Cafe,Benguet,Baguio City,"113 WAGNER ROAD, MILITARY CUT-OFF, BAGUIO CITY",9177192614,113wagnercafe@gmail.com,18-Feb-26,,,,
